key,name,i-a-t-a-code,website,type,foundation,email,phone-number
# Base entity
airline-01,Lorem ipsum dolor sit ame,ESP,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
# name - standard variations
airline-02,L,ABC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-03,Lo,BCD,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-04,"Lorem ipsum dolor sit amet, consectetur adipiscin",CDE,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-05,"Lorem ipsum dolor sit amet, consectetur adipiscing",DEH,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-06,โลเร็ม อิปซัม,EHI,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-07,لوريم إيبسوم,HIJ,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-08,洛伦·伊普森,IJK,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-09,<marquee>Hacked</marquee>,JKL,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-10,<script>alert(‘Hacked!’);</script>,KLM,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-11,' or 'A' = 'A,LMN,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
# name - no singular values
# iata-code - standard variations / singular values
airline-12,Lorem ipsum dolor sit ame,AAA,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-13,Lorem ipsum dolor sit ame,ZZZ,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-14,Lorem ipsum dolor sit ame,ZAZ,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
# website - standard variations,"","",""
airline-15,Lorem ipsum dolor sit ame,NOP,https://a.b,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-16,Lorem ipsum dolor sit ame,OPQ,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-17,Lorem ipsum dolor sit ame,PQR,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-18,Lorem ipsum dolor sit ame,QRS,https://www.lorem-ipsum.org,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-19,Lorem ipsum dolor sit ame,RST,https://www.lorem-ipsum.org,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-20,Lorem ipsum dolor sit ame,STU,http://www.lorem-ipsum.org/dolor/sit.html,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-21,Lorem ipsum dolor sit ame,TUV,http://www.lorem-ipsum.org/dolor/sit.html#dolor,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-22,Lorem ipsum dolor sit ame,UVW,http://example.org?a=1&b=2,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-23,Lorem ipsum dolor sit ame,VWX,http://example.org?,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-24,Lorem ipsum dolor sit ame,WXY,http://example.org?a,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-25,Lorem ipsum dolor sit ame,XYZ,http://example.org?a&b,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-26,Lorem ipsum dolor sit ame,YZA,http://example.org/,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-27,Lorem ipsum dolor sit ame,ZAB,http://example.org/a,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-28,Lorem ipsum dolor sit ame,CBA,http://example.org/a/b,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-29,Lorem ipsum dolor sit ame,DCB,http://example.org/a/b?,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
airline-30,Lorem ipsum dolor sit ame,EDC,http://example.org/a/b?a&b,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
# website - no singular values
# type - standard variations
airline-31,Lorem ipsum dolor sit ame,FED,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
